,x,amp_ratio,phase_diff
0,0.0005,0.9123702680705419,0.07725987948358243
1,0.001,0.8320179968369351,0.16009501165089218
2,0.0015,0.7756167220674218,0.24151110235087425
3,0.002,0.7170143342308154,0.32451319630674474
4,0.0025,0.6572328759251874,0.39098250017127845
5,0.003,0.5980860502311202,0.4797782273424308
6,0.0035,0.5473989162596459,0.5607663466409945
7,0.004,0.5007162580781495,0.6388524656549088
8,0.0045000000000000005,0.4543129631551959,0.7236365781903074
9,0.005,0.4118416171243942,0.7928522050128437
10,0.0055000000000000005,0.3729588526160524,0.8814193224309463
11,0.006,0.3409301465949684,0.9431097452648662
12,0.006500000000000001,0.31209593758487414,1.0141569464202065
13,0.007,0.28314613406121797,1.1072105588163195
14,0.0005,0.9172511268182747,0.0768618690647615
15,0.001,0.8335714145204867,0.1606474005844441
16,0.0015,0.7760397477516121,0.24266903925773575
17,0.002,0.7153608355244624,0.32223121940887084
18,0.0025,0.6571863849429094,0.3916031237388786
19,0.003,0.598078764096348,0.4812028943526776
20,0.0035,0.545292464583362,0.5589121521828341
21,0.004,0.4951617909564522,0.6373549002967087
22,0.0045000000000000005,0.4546739796496381,0.7146820734878586
23,0.005,0.40992633454704197,0.8031908797066478
24,0.0055000000000000005,0.3688856124705323,0.8654733147985031
25,0.006,0.3363464097392349,0.9383403643927284
26,0.006500000000000001,0.3117766117890876,1.0264070521413788
27,0.007,0.281177403045735,1.1096075884071994
28,0.0005,0.9138829357978138,0.07743426677008813
29,0.001,0.8370469377639407,0.16198555595728487
30,0.0015,0.7814608242905058,0.2460440347722178
31,0.002,0.7183927489432986,0.3209874644166069
32,0.0025,0.6557775078179721,0.3905407736216262
33,0.003,0.6011954707746219,0.48299790899122524
34,0.0035,0.549459562761557,0.5567272330326221
35,0.004,0.5065137731652082,0.6459301304100225
36,0.0045000000000000005,0.4579748030378086,0.7135207672267649
37,0.005,0.40997232296339725,0.795790833972998
38,0.0055000000000000005,0.3725611518364472,0.8682719277521664
39,0.006,0.3366222632757325,0.9514574184693186
40,0.006500000000000001,0.3097575581723836,1.017704912216563
41,0.007,0.2831112948080854,1.1054409530927654
42,0.0005,0.914542985403971,0.08733849144108624
43,0.001,0.8406092746178915,0.15757438305584337
44,0.0015,0.7790917828914579,0.2506682637998354
45,0.002,0.7163324316814962,0.3265959050864434
46,0.0025,0.6524103054691771,0.3993227549337303
47,0.003,0.5997937229780065,0.4828849991213147
48,0.0035,0.5473792293570979,0.5619832418934858
49,0.004,0.4981005789847826,0.645681862529663
50,0.0045000000000000005,0.45091195949765495,0.7176321144515061
51,0.005,0.4099265696927046,0.7943612426559927
52,0.0055000000000000005,0.3752997453929973,0.8684191884440782
53,0.006,0.3407914315201252,0.9376094616781888
54,0.006500000000000001,0.30939028680042474,1.0244493450902237
55,0.007,0.28014151244070823,1.0932518794671782
56,0.0005,0.9192777151216879,0.08057170983993045
57,0.001,0.8374096285252971,0.15778090370516157
58,0.0015,0.7800325953468727,0.2485127335665916
59,0.002,0.7145126337695032,0.3214951647915006
60,0.0025,0.6523010353017976,0.3972057948270684
61,0.003,0.6002024523169986,0.4837068601544542
62,0.0035,0.545520493706426,0.5623980023650891
63,0.004,0.49881514805603866,0.6407298035102136
64,0.0045000000000000005,0.4554124954168929,0.71849912256125
65,0.005,0.4092283855840432,0.7947315934844004
66,0.0055000000000000005,0.3768391330684024,0.8711622223733104
67,0.006,0.3411462432437689,0.9330460551210463
68,0.006500000000000001,0.31407142372330055,1.0235114138853514
69,0.007,0.28174373134358555,1.1091156961616802
70,0.0005,0.9208978722512625,0.07511010780835364
71,0.001,0.8392430107215083,0.1545406296501748
72,0.0015,0.780122787873827,0.24706375847785306
73,0.002,0.7161849324372587,0.31753314401387284
74,0.0025,0.6589700576896045,0.3916887042508054
75,0.003,0.6031634722736726,0.483560046479473
76,0.0035,0.5462076455515289,0.55212137042549
77,0.004,0.49903140415054786,0.6342271956999095
78,0.0045000000000000005,0.4541082955607745,0.7113811514200996
79,0.005,0.4125357378462789,0.7882978360356898
80,0.0055000000000000005,0.38026016274175095,0.8610672029123769
81,0.006,0.34002013802260456,0.9392375686872139
82,0.006500000000000001,0.31243563388045564,1.0297097558078159
83,0.007,0.2828832290757582,1.0934126078547886
